,title,engine,power,transmission,drive_unit,color,mileage,steering,generation,price
484,"Продажа Volvo V60, 2015 год в Москве","дизель, 2.4 л",190 л.с.,автомат,4WD,черный,62000,левый,"1 поколение, рестайлинг",1600000
485,"Продажа Daewoo Gentra, 2014 год в Москве","бензин, 1.5 л",107 л.с.,автомат,передний,бежевый,52346,левый,2 поколение,510000
486,"Продажа Kia Rio X-Line, 2018 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,синий,25000,левый,1 поколение,890000
487,"Продажа Honda Logo, 2000 год в Москве","бензин, 1.3 л",66 л.с.,автомат,передний,белый,280500,правый,"1 поколение, 2 рестайлинг",130000
488,"Продажа Audi A3, 2018 год в Москве","бензин, 1.5 л",150 л.с.,автомат,передний,бежевый,63500,левый,"3 поколение, рестайлинг",1350000
489,"Продажа BMW X3, 2013 год в Москве","бензин, 2.0 л",245 л.с.,автомат,4WD,черный,119000,левый,2 поколение,935000
490,"Продажа Honda Civic, 2007 год в Москве","бензин, 1.8 л",140 л.с.,автомат,передний,серый,207000,левый,8 поколение,380000
491,"Продажа Toyota Corolla, 2016 год в Москве","бензин, 1.6 л",122 л.с.,автомат,передний,серебристый,55500,левый,11 поколение,760000
492,"Продажа Volkswagen Golf, 2012 год в Москве","бензин, 1.2 л",105 л.с.,механика,передний,серебристый,70000,левый,,565000
493,"Продажа Toyota iQ, 2008 год в Москве","бензин, 1.0 л",68 л.с.,автомат,передний,голубой,,правый,1 поколение,370000
494,"Продажа Land Rover Range Rover, 2010 год в Москве","бензин, 5.0 л",570 л.с.,автомат,4WD,черный,156000,левый,,1100000
495,"Продажа Opel Astra, 2010 год в Москве","бензин, 1.8 л",140 л.с.,автомат,передний,черный,117544,левый,"3 поколение, рестайлинг",305000
496,"Продажа Volkswagen Passat, 2016 год в Москве","дизель, 1.6 л",120 л.с.,автомат,передний,серый,162000,левый,8 поколение,1300000
497,"Продажа Nissan Leaf, 2015 год в Москве",электро,109 л.с.,автомат,передний,голубой,"43500, б/п по РФ",правый,1 поколение,699000
498,"Продажа Mercedes-Benz S-Class, 2016 год в Москве","бензин, 5.5 л",585 л.с.,автомат,4WD,черный,11350,левый,6 поколение,7350000
499,"Продажа Лада Веста, 2019 год в Москве","бензин, 1.6 л",106 л.с.,механика,передний,белый,15000,левый,1 поколение,655000
500,"Продажа Toyota RAV4, 2010 год в Москве","бензин, 2.0 л",158 л.с.,,4WD,бежевый,208622,левый,3 поколение,760000
501,"Продажа Lexus RX350, 2011 год в Москве","бензин, 3.5 л",277 л.с.,автомат,передний,красный,90174,левый,,1399000
502,"Продажа Jeep Patriot, 2008 год в Москве","бензин, 2.4 л",170 л.с.,автомат,4WD,голубой,116672,левый,1 поколение,600000
503,"Продажа Ford Kuga, 2012 год в Москве","дизель, 2.0 л",164 л.с.,автомат,4WD,черный,126909,левый,,710000
504,"Продажа Лада 2108, 1996 год в Москве","бензин, 1.5 л",70 л.с.,механика,передний,красный,460000,левый,"1 поколение, рестайлинг",38000
505,"Продажа Daihatsu Cast, 2016 год в Москве","бензин, 0.7 л",52 л.с.,автомат,передний,бордовый,"23000, б/п по РФ",,1 поколение,539000
506,"Продажа Volkswagen Golf, 2012 год в Москве","бензин, 1.4 л",122 л.с.,автомат,передний,серый,,левый,6 поколение,375000
507,"Продажа Nissan Almera, 2016 год в Москве","бензин, 1.6 л",102 л.с.,автомат,передний,черный,,левый,3 поколение,499000
508,"Продажа Ford Mondeo, 2011 год в Москве","бензин, 2.0 л",199 л.с.,автомат,передний,белый,,левый,,485000
509,"Продажа BMW 1-Series, 2010 год в Москве","бензин, 1.6 л",115 л.с.,автомат,передний,белый,300000,левый,,375000
510,"Продажа Toyota Sienna, 2013 год в Москве","бензин, 3.5 л",266 л.с.,автомат,4WD,серый,125000,левый,3 поколение,1520000
511,"Продажа Nissan Elgrand, 2014 год в Москве","бензин, 3.5 л",280 л.с.,автомат,4WD,коричневый,72000,правый,"3 поколение, рестайлинг",2150000
512,"Продажа Mercedes-Benz GLK-Class, 2011 год в Москве","бензин, 3.0 л",231 л.с.,автомат,4WD,белый,150500,левый,1 поколение,850000
513,"Продажа Mercedes-Benz GLA-Class, 2016 год в Москве","бензин, 2.0 л",211 л.с.,автомат,4WD,коричневый,20300,левый,1 поколение,1950000
514,"Продажа Mercedes-Benz S-Class, 2016 год в Москве","бензин, 4.7 л",455 л.с.,автомат,4WD,черный,61000,левый,6 поколение,6000000
515,"Продажа Mercedes-Benz S-Class, 2016 год в Москве","бензин, 4.7 л",455 л.с.,автомат,4WD,черный,61000,левый,6 поколение,6000000
516,"Продажа Toyota Harrier, 2006 год в Москве","бензин, 3.3 л, гибрид",211 л.с.,автомат,4WD,белый,210000,правый,2 поколение,980000
517,"Продажа Subaru Forester, 2003 год в Москве","бензин, 2.0 л",177 л.с.,механика,4WD,синий,200000,левый,2 поколение,355000
518,"Продажа Kia Rio, 2016 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,коричневый,76800,левый,,589000
519,"Продажа Kia Ceed, 2012 год в Москве","бензин, 1.6 л",129 л.с.,механика,передний,серый,190500,левый,2 поколение,529000
520,"Продажа Smart Fortwo, 2008 год в Москве","бензин, 1.0 л",71 л.с.,автомат,задний,серый,82000,левый,2 поколение,449000
521,"Продажа Kia Soul, 2011 год в Москве","бензин, 1.6 л",124 л.с.,автомат,передний,оранжевый,66913,левый,1 поколение,615000
522,"Продажа Kia Sportage, 2014 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,серый,173000,левый,3 поколение,799000
523,"Продажа Hyundai Solaris, 2014 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серый,118000,левый,1 поколение,509000
524,"Продажа Peugeot 308, 2011 год в Москве","бензин, 1.6 л",120 л.с.,автомат,передний,серый,52000,левый,1 поколение,425000
525,"Продажа Mercedes-Benz Viano, 2004 год в Москве","дизель, 2.1 л",150 л.с.,автомат,задний,бордовый,384460,левый,2 поколение,469000
526,"Продажа УАЗ Хантер, 2018 год в Москве","бензин, 2.7 л",128 л.с.,механика,4WD,черный,27673,левый,1 поколение,490000
527,"Продажа Лада 4x4 2121 Нива, 2018 год в Москве","бензин, 1.7 л",83 л.с.,механика,4WD,коричневый,28826,левый,1 поколение,385000
528,"Продажа Lifan X50, 2015 год в Москве","бензин, 1.5 л",103 л.с.,механика,передний,белый,90000,,1 поколение,330000
529,"Продажа Kia Rio, 2018 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,коричневый,9500,левый,4 поколение,985000
530,"Продажа Opel Astra, 2010 год в Москве","бензин, 1.8 л",140 л.с.,автомат,передний,синий,250000,левый,"3 поколение, рестайлинг",360000
531,"Продажа Toyota Hilux Surf, 2017 год в Москве","дизель, 2.8 л",177 л.с.,автомат,4WD,белый,,левый,,2470000
532,"Продажа Opel Astra GTC, 2010 год в Москве","бензин, 1.6 л",116 л.с.,автомат,передний,белый,120000,левый,3 поколение,320000
533,"Продажа Subaru Legacy, 1999 год в Москве","бензин, 2.5 л",156 л.с.,автомат,4WD,серебристый,435000,левый,3 поколение,200000
534,"Продажа Subaru Impreza, 2007 год в Москве","бензин, 1.5 л",105 л.с.,механика,4WD,серебристый,300000,левый,"2 поколение, 2 рестайлинг",325000
535,"Продажа Porsche Panamera, 2017 год в Москве","бензин, 4.0 л",550 л.с.,автомат,4WD,серый,20151,левый,2 поколение,8700000
536,"Продажа Chrysler Sebring, 2007 год в Москве","бензин, 2.4 л",170 л.с.,автомат,передний,,,левый,3 поколение,350000
537,"Продажа Volkswagen Passat, 2002 год в Москве","дизель, 1.9 л",130 л.с.,автомат,передний,серебристый,470000,левый,"5 поколение, рестайлинг",225000
538,"Продажа Honda Stepwgn, 2016 год в Москве","бензин, 1.5 л",150 л.с.,автомат,передний,синий,"91000, б/п по РФ",правый,5 поколение,1185000
539,"Продажа Datsun on-DO, 2016 год в Москве","бензин, 1.6 л",87 л.с.,автомат,передний,серый,33828,левый,1 поколение,388000
540,"Продажа Volkswagen Polo, 2012 год в Москве","бензин, 1.6 л",105 л.с.,механика,передний,серебристый,102287,левый,5 поколение,448000
541,"Продажа Лада 2104, 2008 год в Москве","бензин, 1.6 л",75 л.с.,механика,задний,зеленый,,,,70000
542,"Продажа Opel Astra GTC, 2012 год в Москве","бензин, 1.4 л",140 л.с.,автомат,передний,белый,130000,левый,4 поколение,505000
543,"Продажа Chevrolet Niva, 2013 год в Москве","бензин, 1.7 л",80 л.с.,механика,4WD,серый,94161,левый,"1 поколение, рестайлинг",345000
544,"Продажа BMW X6, 2017 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,черный,70000,левый,2 поколение,3700000
545,"Продажа Toyota Camry, 2018 год в Москве","бензин, 2.5 л",181 л.с.,автомат,передний,черный,30000,левый,9 поколение,1670000
546,"Продажа Nissan X-Trail, 2012 год в Москве","бензин, 2.5 л",169 л.с.,автомат,4WD,серебристый,127000,левый,"2 поколение, рестайлинг",850000
547,"Продажа Ford Focus, 2008 год в Москве","бензин, 1.8 л",125 л.с.,механика,передний,черный,165000,левый,2 поколение,359000
548,"Продажа Peugeot 308, 2010 год в Москве","бензин, 1.6 л",120 л.с.,автомат,передний,фиолетовый,102000,левый,1 поколение,359000
549,"Продажа Mitsubishi Lancer, 2007 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,красный,125000,левый,10 поколение,369000
550,"Продажа Nissan Almera Classic, 2007 год в Москве","бензин, 1.6 л",107 л.с.,механика,передний,черный,132000,левый,1 поколение,279000
551,"Продажа Lifan X60, 2016 год в Москве","бензин, 1.8 л",128 л.с.,автомат,передний,синий,42000,,1 поколение,529000
552,"Продажа Chevrolet Lacetti, 2010 год в Москве","бензин, 1.6 л",109 л.с.,автомат,передний,белый,113000,левый,1 поколение,329000
553,"Продажа Infiniti M37, 2010 год в Москве","бензин, 3.7 л",333 л.с.,автомат,4WD,черный,136000,,4 поколение,829000
554,"Продажа Peugeot 308, 2012 год в Москве","бензин, 1.6 л",120 л.с.,автомат,передний,серый,103000,левый,"1 поколение, рестайлинг",360000
555,"Продажа Toyota Camry, 2016 год в Москве","бензин, 2.5 л",181 л.с.,автомат,передний,черный,43123,левый,"8 поколение, рестайлинг",1400000
556,"Продажа BMW X5, 2018 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,белый,88000,левый,,3450000
557,"Продажа Kia Sportage, 2012 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,оранжевый,60260,левый,3 поколение,820000
558,"Продажа Mercedes-Benz GLE, 2016 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,серый,93374,левый,1 поколение,2808000
559,"Продажа Mitsubishi Outlander, 2018 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,черный,20292,левый,3 поколение,1577000
560,"Продажа Volkswagen Jetta, 2010 год в Москве","бензин, 1.6 л",102 л.с.,автомат,передний,серый,87573,левый,5 поколение,357000
561,"Продажа Audi A6, 2015 год в Москве","бензин, 1.8 л",190 л.с.,автомат,передний,черный,151165,левый,"4 поколение, рестайлинг",1218000
562,"Продажа Mercedes-Benz GL-Class, 2011 год в Москве","дизель, 3.0 л",224 л.с.,автомат,4WD,коричневый,191653,левый,"1 поколение, рестайлинг",1276640
563,"Продажа Nissan Terrano, 2015 год в Москве","бензин, 1.6 л",102 л.с.,механика,передний,черный,48600,левый,3 поколение,650000
564,"Продажа Volvo S60, 2012 год в Москве","бензин, 2.5 л",249 л.с.,автомат,передний,бежевый,183176,левый,2 поколение,699000
565,"Продажа Nissan Juke, 2014 год в Москве","бензин, 1.6 л",117 л.с.,автомат,передний,белый,68000,левый,1 поколение,685000
566,"Продажа BMW X3, 2006 год в Москве","бензин, 2.5 л",218 л.с.,автомат,4WD,серый,144000,левый,"1 поколение, рестайлинг",615000
567,"Продажа Hyundai Solaris, 2017 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серебристый,93768,левый,,717600
568,"Продажа Nissan X-Trail, 2015 год в Москве","бензин, 2.0 л",144 л.с.,автомат,4WD,серый,78145,левый,3 поколение,1182000
569,"Продажа Hyundai Creta, 2018 год в Москве","бензин, 2.0 л",149 л.с.,автомат,передний,серебристый,79097,левый,1 поколение,1008990
570,"Продажа Volkswagen Polo, 2013 год в Москве","бензин, 1.6 л",105 л.с.,механика,передний,желтый,155000,левый,5 поколение,415000
571,"Продажа Audi Q5, 2009 год в Москве","дизель, 2.0 л",170 л.с.,автомат,4WD,серый,124000,левый,1 поколение,865000
572,"Продажа Volkswagen Caravelle, 2014 год в Москве","дизель, 2.0 л",84 л.с.,механика,передний,серебристый,217352,левый,"5 поколение, рестайлинг",1349000
573,"Продажа Toyota Land Cruiser, 2012 год в Москве","дизель, 4.5 л",235 л.с.,автомат,4WD,серебристый,178228,левый,11 поколение,2189000
574,"Продажа Kia Ceed, 2018 год в Москве","бензин, 1.6 л",128 л.с.,автомат,передний,белый,28170,левый,3 поколение,1090380
575,"Продажа Kia Ceed, 2018 год в Москве","бензин, 1.6 л",128 л.с.,автомат,передний,белый,28170,левый,3 поколение,1090380
576,"Продажа Kia Sportage, 2017 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,серебристый,18750,левый,4 поколение,1670000
577,"Продажа Suzuki Swift, 2007 год в Москве","бензин, 1.3 л",92 л.с.,механика,передний,красный,128000,левый,3 поколение,315000
578,"Продажа Hyundai Solaris, 2019 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,коричневый,25023,левый,2 поколение,809000
579,"Продажа Nissan Qashqai, 2009 год в Москве","бензин, 2.0 л",141 л.с.,автомат,4WD,коричневый,55565,левый,1 поколение,605000
580,"Продажа Volkswagen Passat, 2016 год в Москве","бензин, 1.4 л",150 л.с.,автомат,передний,черный,69976,левый,8 поколение,1079760
581,"Продажа Land Rover Freelander, 2009 год в Москве","дизель, 2.2 л",160 л.с.,автомат,4WD,красный,185530,левый,2 поколение,700000
582,"Продажа Hyundai Sonata, 2018 год в Москве","бензин, 2.4 л",188 л.с.,автомат,передний,синий,28400,левый,"7 поколение, рестайлинг",1515000
583,"Продажа Renault Megane, 2008 год в Москве","бензин, 1.6 л",115 л.с.,механика,передний,черный,168000,левый,,295000
584,"Продажа Ford Mondeo, 2016 год в Москве","бензин, 2.5 л",149 л.с.,автомат,передний,серый,65226,левый,5 поколение,1075650
585,"Продажа Nissan X-Trail, 2007 год в Москве","бензин, 2.0 л",140 л.с.,механика,4WD,серый,264500,левый,"1 поколение, рестайлинг",455000
586,"Продажа Audi Q5, 2015 год в Москве","бензин, 2.0 л",224 л.с.,автомат,4WD,синий,111428,левый,,1420000
587,"Продажа Nissan X-Trail, 2017 год в Москве","бензин, 2.5 л",171 л.с.,автомат,4WD,серебристый,29200,левый,3 поколение,1609000
588,"Продажа Kia Ceed, 2014 год в Москве","бензин, 1.6 л",129 л.с.,автомат,передний,серебристый,56821,левый,2 поколение,780000
589,"Продажа Ford Focus, 2019 год в Москве","бензин, 1.6 л",105 л.с.,автомат,передний,черный,24424,левый,"3 поколение, рестайлинг",899000
590,"Продажа BMW X3, 2012 год в Москве","бензин, 2.0 л",184 л.с.,автомат,4WD,серый,66174,левый,2 поколение,1049000
591,"Продажа Kia Sportage, 2011 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,белый,111912,левый,3 поколение,679000
592,"Продажа Toyota Camry, 2014 год в Москве","бензин, 2.5 л",181 л.с.,автомат,передний,черный,246200,левый,8 поколение,899000
593,"Продажа Mercedes-Benz M-Class, 2009 год в Москве","дизель, 3.0 л",224 л.с.,автомат,4WD,белый,134847,левый,"2 поколение, рестайлинг",899000
594,"Продажа Lexus LS500, 2018 год в Москве","бензин, 3.4 л",421 л.с.,автомат,4WD,черный,4168,левый,5 поколение,6900000
595,"Продажа Mercedes-Benz GLS-Class, 2018 год в Москве","бензин, 3.0 л",333 л.с.,автомат,4WD,черный,38091,левый,1 поколение,4199000
596,"Продажа Lexus ES300h, 2012 год в Москве","бензин, 2.5 л, гибрид",161 л.с.,автомат,передний,черный,146911,левый,6 поколение,1349000
597,"Продажа Peugeot 3008, 2012 год в Москве","бензин, 1.6 л",150 л.с.,автомат,передний,черный,229000,левый,1 поколение,472000
598,"Продажа Kia Sorento, 2019 год в Москве","дизель, 2.2 л",200 л.с.,автомат,4WD,черный,5769,левый,"3 поколение, рестайлинг",2275000
599,"Продажа Skoda Octavia, 2010 год в Москве","бензин, 1.6 л",102 л.с.,механика,передний,серый,190635,левый,,395000
600,"Продажа Honda CR-V, 2011 год в Москве","бензин, 2.0 л",150 л.с.,автомат,4WD,черный,105273,левый,"3 поколение, рестайлинг",1050000
601,"Продажа Mercedes-Benz S-Class, 2005 год в Москве","бензин, 3.5 л",272 л.с.,автомат,задний,серебристый,179919,левый,5 поколение,599000
602,"Продажа Toyota RAV4, 2016 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,коричневый,66700,левый,"4 поколение, рестайлинг",1515000
603,"Продажа Land Rover Range Rover Sport, 2014 год в Москве","бензин, 3.0 л",340 л.с.,автомат,4WD,коричневый,74005,левый,2 поколение,2100000
604,"Продажа Nissan Almera, 2014 год в Москве","бензин, 1.6 л",102 л.с.,автомат,передний,серебристый,21500,левый,3 поколение,470000
605,"Продажа Skoda Octavia, 2009 год в Москве","бензин, 1.4 л",122 л.с.,автомат,передний,черный,89148,левый,"2 поколение, рестайлинг",425000
606,"Продажа Nissan Juke, 2013 год в Москве","бензин, 1.6 л",117 л.с.,автомат,передний,серебристый,138908,левый,1 поколение,470000
607,"Продажа Citroen Jumpy, 2016 год в Москве","дизель, 2.0 л",163 л.с.,автомат,передний,серый,53518,левый,,1350000
608,"Продажа Land Rover Range Rover Evoque, 2013 год в Москве","бензин, 2.0 л",240 л.с.,автомат,4WD,серебристый,130837,левый,1 поколение,1050000
609,"Продажа Mazda CX-5, 2016 год в Москве","бензин, 2.5 л",192 л.с.,автомат,4WD,белый,87261,левый,"1 поколение, рестайлинг",1382945
610,"Продажа Audi Q7, 2012 год в Москве","дизель, 4.1 л",340 л.с.,автомат,4WD,черный,169508,левый,"1 поколение, рестайлинг",1139910
611,"Продажа Toyota RAV4, 2015 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,красный,116646,левый,4 поколение,1350000
612,"Продажа Peugeot 408, 2014 год в Москве","бензин, 1.6 л",120 л.с.,автомат,передний,белый,148664,левый,1 поколение,405000
613,"Продажа Kia Rio, 2018 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серый,48331,левый,4 поколение,849000
614,"Продажа Лада Ларгус, 2015 год в Москве","бензин, 1.6 л",84 л.с.,механика,передний,коричневый,97403,левый,1 поколение,405000
615,"Продажа Land Rover Range Rover Sport, 2014 год в Москве","бензин, 3.0 л",340 л.с.,автомат,4WD,коричневый,74005,левый,2 поколение,2100000
616,"Продажа Nissan Almera, 2014 год в Москве","бензин, 1.6 л",102 л.с.,автомат,передний,серебристый,21500,левый,3 поколение,470000
617,"Продажа Skoda Octavia, 2009 год в Москве","бензин, 1.4 л",122 л.с.,автомат,передний,черный,89148,левый,"2 поколение, рестайлинг",425000
618,"Продажа Nissan Juke, 2013 год в Москве","бензин, 1.6 л",117 л.с.,автомат,передний,серебристый,138908,левый,1 поколение,470000
619,"Продажа Citroen Jumpy, 2016 год в Москве","дизель, 2.0 л",163 л.с.,автомат,передний,серый,53518,левый,,1350000
620,"Продажа Land Rover Range Rover Evoque, 2013 год в Москве","бензин, 2.0 л",240 л.с.,автомат,4WD,серебристый,130837,левый,1 поколение,1050000
621,"Продажа Mazda CX-5, 2016 год в Москве","бензин, 2.5 л",192 л.с.,автомат,4WD,белый,87261,левый,"1 поколение, рестайлинг",1382945
622,"Продажа Audi Q7, 2012 год в Москве","дизель, 4.1 л",340 л.с.,автомат,4WD,черный,169508,левый,"1 поколение, рестайлинг",1139910
623,"Продажа Toyota RAV4, 2015 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,красный,116646,левый,4 поколение,1350000
624,"Продажа Peugeot 408, 2014 год в Москве","бензин, 1.6 л",120 л.с.,автомат,передний,белый,148664,левый,1 поколение,405000
625,"Продажа Kia Rio, 2018 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,серый,48331,левый,4 поколение,849000
626,"Продажа Лада Ларгус, 2015 год в Москве","бензин, 1.6 л",84 л.с.,механика,передний,коричневый,97403,левый,1 поколение,405000
627,"Продажа Volkswagen Touran, 2008 год в Москве","дизель, 2.0 л",140 л.с.,автомат,передний,коричневый,280004,левый,"1 поколение, рестайлинг",440925
628,"Продажа Audi Q5, 2014 год в Москве","бензин, 2.0 л",225 л.с.,автомат,4WD,серый,102687,левый,"1 поколение, рестайлинг",1439000
629,"Продажа Nissan Almera Classic, 2009 год в Москве","бензин, 1.6 л",107 л.с.,автомат,передний,синий,109772,левый,1 поколение,324000
630,"Продажа Mitsubishi Outlander, 2014 год в Москве","бензин, 2.4 л",167 л.с.,автомат,4WD,серебристый,109081,левый,3 поколение,1037000
631,"Продажа Renault Kangoo, 1999 год в Москве","бензин, 1.1 л",58 л.с.,механика,передний,красный,170000,левый,,195000
632,"Продажа Nissan Qashqai, 2012 год в Москве","бензин, 2.0 л",141 л.с.,автомат,4WD,серый,111159,левый,"1 поколение, рестайлинг",740000
633,"Продажа Ford Focus, 2013 год в Москве","бензин, 1.6 л",105 л.с.,механика,передний,коричневый,90000,левый,3 поколение,459000
634,"Продажа Suzuki Vitara, 2018 год в Москве","бензин, 1.6 л",117 л.с.,автомат,передний,красный,44300,левый,4 поколение,1139000
635,"Продажа Renault Koleos, 2019 год в Москве","бензин, 2.5 л",171 л.с.,автомат,4WD,белый,1506,левый,2 поколение,2145000
636,"Продажа Volkswagen Tiguan, 2016 год в Москве","бензин, 2.0 л",180 л.с.,автомат,4WD,серебристый,76800,левый,,1219000
637,"Продажа Audi A6 allroad quattro, 2006 год в Москве","бензин, 3.1 л",255 л.с.,автомат,4WD,черный,221967,левый,2 поколение,489000
638,"Продажа Skoda Rapid, 2018 год в Москве","бензин, 1.6 л",110 л.с.,автомат,передний,белый,29000,левый,"1 поколение, рестайлинг",867000
639,"Продажа Toyota RAV4, 2010 год в Москве","бензин, 2.0 л",158 л.с.,автомат,4WD,черный,85450,левый,3 поколение,992000
640,"Продажа Nissan Teana, 2010 год в Москве","бензин, 2.5 л",167 л.с.,автомат,4WD,красный,155000,левый,2 поколение,605000
641,"Продажа Chevrolet Niva, 2015 год в Москве","бензин, 1.7 л",80 л.с.,механика,4WD,бежевый,109800,левый,"1 поколение, рестайлинг",350000
642,"Продажа Opel Astra, 2014 год в Москве","бензин, 1.4 л",140 л.с.,автомат,передний,желтый,191300,левый,"4 поколение, рестайлинг",405000
643,"Продажа Mitsubishi Outlander, 2008 год в Москве","бензин, 2.4 л",170 л.с.,механика,4WD,бежевый,208000,левый,2 поколение,510000
644,"Продажа Skoda Rapid, 2019 год в Москве","бензин, 1.4 л",125 л.с.,автомат,передний,черный,31810,левый,,920000
645,"Продажа Nissan Juke, 2012 год в Москве","бензин, 1.6 л",117 л.с.,механика,передний,черный,120000,левый,1 поколение,542500
646,"Продажа Kia Sportage, 2014 год в Москве","бензин, 2.0 л",150 л.с.,автомат,передний,серебристый,52764,левый,3 поколение,790000
647,"Продажа Skoda Octavia, 2016 год в Москве","дизель, 2.0 л",150 л.с.,автомат,передний,белый,95000,левый,3 поколение,999000
648,"Продажа Лада Веста, 2017 год в Москве","бензин, 1.6 л",106 л.с.,автомат,передний,красный,25000,левый,1 поколение,529000
649,"Продажа Kia Spectra, 2007 год в Москве","бензин, 1.6 л",101 л.с.,механика,передний,белый,191585,левый,"1 поколение, рестайлинг",169000
650,"Продажа Hyundai Creta, 2016 год в Москве","бензин, 2.0 л",149 л.с.,автомат,4WD,коричневый,54000,левый,1 поколение,999000
651,"Продажа Ford EcoSport, 2017 год в Москве","бензин, 1.6 л",122 л.с.,механика,передний,черный,158680,левый,2 поколение,539000
652,"Продажа BMW X6, 2017 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,белый,32000,левый,2 поколение,3153000
653,"Продажа BMW 3-Series, 2017 год в Москве","бензин, 2.0 л",184 л.с.,автомат,4WD,оранжевый,77622,левый,"6 поколение, рестайлинг",1648000
654,"Продажа Mazda Mazda3, 2008 год в Москве","бензин, 1.6 л",105 л.с.,механика,передний,белый,161745,левый,,348000
655,"Продажа Mazda Mazda3, 2008 год в Москве","бензин, 1.6 л",105 л.с.,механика,передний,белый,161745,левый,,348000
656,"Продажа Hyundai Solaris, 2014 год в Москве","бензин, 1.6 л",123 л.с.,автомат,передний,бежевый,73007,левый,1 поколение,596000
657,"Продажа Renault Duster, 2012 год в Москве","бензин, 2.0 л",135 л.с.,механика,4WD,бежевый,200000,левый,1 поколение,487000
658,"Продажа Hyundai Solaris, 2012 год в Москве","бензин, 1.6 л",123 л.с.,механика,передний,красный,164000,левый,1 поколение,398000
659,"Продажа Hyundai Tucson, 2008 год в Москве","бензин, 2.0 л",140 л.с.,механика,передний,серый,310000,левый,1 поколение,424000
660,"Продажа Volkswagen Polo, 2017 год в Москве","бензин, 1.6 л",90 л.с.,механика,передний,серый,17148,левый,"5 поколение, рестайлинг",598000
661,"Продажа Mitsubishi Outlander, 2011 год в Москве","бензин, 2.0 л",147 л.с.,автомат,4WD,синий,189493,левый,"2 поколение, рестайлинг",677000
662,"Продажа Mitsubishi Outlander, 2008 год в Москве","бензин, 2.4 л",170 л.с.,автомат,4WD,серый,190822,левый,2 поколение,695000
663,"Продажа Mitsubishi Grandis, 2006 год в Москве","бензин, 2.4 л",165 л.с.,автомат,передний,синий,243120,левый,1 поколение,467000
664,"Продажа Mitsubishi Outlander, 2019 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,белый,11708,левый,"3 поколение, 3 рестайлинг",1545000
665,"Продажа BMW X3, 2013 год в Москве","бензин, 2.0 л",245 л.с.,автомат,4WD,белый,162899,левый,2 поколение,1199000
666,"Продажа BMW 3-Series, 2015 год в Москве","бензин, 1.5 л",136 л.с.,автомат,задний,черный,101114,левый,"6 поколение, рестайлинг",1116000
667,"Продажа BMW X5, 2009 год в Москве","бензин, 3.0 л",272 л.с.,автомат,4WD,серый,126790,левый,2 поколение,1050000
668,"Продажа Audi Q7, 2015 год в Москве","дизель, 3.0 л",249 л.с.,автомат,4WD,черный,86481,левый,2 поколение,2699000
669,"Продажа Mercedes-Benz G-Class, 2014 год в Москве","дизель, 3.0 л",211 л.с.,автомат,4WD,черный,100833,левый,"2 поколение, 6 рестайлинг",3740000
670,"Продажа Mitsubishi Outlander, 2013 год в Москве","бензин, 2.0 л",146 л.с.,автомат,4WD,черный,120000,левый,3 поколение,749000
671,"Продажа Aston Martin DB11, 2017 год в Москве","бензин, 5.2 л",608 л.с.,автомат,задний,черный,8825,левый,1 поколение,9900000
672,"Продажа Volkswagen Golf, 2000 год в Москве","бензин, 1.4 л",75 л.с.,механика,передний,черный,295194,левый,4 поколение,210000
673,"Продажа Toyota Land Cruiser, 2018 год в Москве","дизель, 4.5 л",249 л.с.,автомат,4WD,белый,12213,левый,"11 поколение, 2 рестайлинг",4770000
674,"Продажа Toyota RAV4, 2010 год в Москве","бензин, 2.0 л",158 л.с.,,4WD,красный,120682,левый,3 поколение,835000
675,"Продажа Aston Martin DB11, 2017 год в Москве","бензин, 5.2 л",608 л.с.,автомат,задний,черный,8825,левый,1 поколение,9900000
676,"Продажа Volkswagen Golf, 2000 год в Москве","бензин, 1.4 л",75 л.с.,механика,передний,черный,295194,левый,4 поколение,210000
677,"Продажа Toyota Land Cruiser, 2018 год в Москве","дизель, 4.5 л",249 л.с.,автомат,4WD,белый,12213,левый,"11 поколение, 2 рестайлинг",4770000
